dateRep,day,month,year,cases,deaths,countriesAndTerritories
19/09/2020,19,9,2020,47,1,Afghanistan
18/09/2020,18,9,2020,0,0,Afghanistan
17/09/2020,17,9,2020,17,0,Afghanistan
16/09/2020,16,9,2020,40,10,Afghanistan
15/09/2020,15,9,2020,99,6,Afghanistan
14/09/2020,14,9,2020,75,0,Afghanistan
13/09/2020,13,9,2020,35,0,Afghanistan
12/09/2020,12,9,2020,34,0,Afghanistan
11/09/2020,11,9,2020,28,0,Afghanistan
10/09/2020,10,9,2020,24,2,Afghanistan
09/09/2020,9,9,2020,26,3,Afghanistan
08/09/2020,8,9,2020,96,3,Afghanistan
07/09/2020,7,9,2020,74,2,Afghanistan
06/09/2020,6,9,2020,20,0,Afghanistan
05/09/2020,5,9,2020,16,0,Afghanistan
04/09/2020,4,9,2020,45,1,Afghanistan
03/09/2020,3,9,2020,38,3,Afghanistan
02/09/2020,2,9,2020,9,0,Afghanistan
01/09/2020,1,9,2020,34,4,Afghanistan
31/08/2020,31,8,2020,19,0,Afghanistan
30/08/2020,30,8,2020,3,0,Afghanistan
29/08/2020,29,8,2020,11,1,Afghanistan
28/08/2020,28,8,2020,3,0,Afghanistan
27/08/2020,27,8,2020,55,4,Afghanistan
26/08/2020,26,8,2020,1,0,Afghanistan
25/08/2020,25,8,2020,71,10,Afghanistan
24/08/2020,24,8,2020,0,0,Afghanistan
23/08/2020,23,8,2020,105,2,Afghanistan
22/08/2020,22,8,2020,38,0,Afghanistan
21/08/2020,21,8,2020,97,2,Afghanistan
20/08/2020,20,8,2020,160,8,Afghanistan
19/08/2020,19,8,2020,0,0,Afghanistan
18/08/2020,18,8,2020,3,0,Afghanistan
17/08/2020,17,8,2020,45,5,Afghanistan
16/08/2020,16,8,2020,120,7,Afghanistan
15/08/2020,15,8,2020,7,0,Afghanistan
14/08/2020,14,8,2020,79,9,Afghanistan
13/08/2020,13,8,2020,76,10,Afghanistan
12/08/2020,12,8,2020,215,32,Afghanistan
11/08/2020,11,8,2020,0,0,Afghanistan
10/08/2020,10,8,2020,0,0,Afghanistan
09/08/2020,9,8,2020,39,5,Afghanistan
08/08/2020,8,8,2020,78,9,Afghanistan
07/08/2020,7,8,2020,41,0,Afghanistan
06/08/2020,6,8,2020,67,4,Afghanistan
05/08/2020,5,8,2020,82,6,Afghanistan
04/08/2020,4,8,2020,37,4,Afghanistan
03/08/2020,3,8,2020,0,1,Afghanistan
02/08/2020,2,8,2020,0,0,Afghanistan
01/08/2020,1,8,2020,168,12,Afghanistan
31/07/2020,31,7,2020,71,0,Afghanistan
30/07/2020,30,7,2020,0,0,Afghanistan
29/07/2020,29,7,2020,103,1,Afghanistan
28/07/2020,28,7,2020,105,1,Afghanistan
27/07/2020,27,7,2020,106,10,Afghanistan
26/07/2020,26,7,2020,121,13,Afghanistan
25/07/2020,25,7,2020,108,35,Afghanistan
24/07/2020,24,7,2020,13,0,Afghanistan
23/07/2020,23,7,2020,188,21,Afghanistan
22/07/2020,22,7,2020,112,4,Afghanistan
21/07/2020,21,7,2020,140,5,Afghanistan
20/07/2020,20,7,2020,174,17,Afghanistan
19/07/2020,19,7,2020,12,17,Afghanistan
18/07/2020,18,7,2020,219,32,Afghanistan
17/07/2020,17,7,2020,76,21,Afghanistan
16/07/2020,16,7,2020,254,49,Afghanistan
15/07/2020,15,7,2020,285,33,Afghanistan
14/07/2020,14,7,2020,4,2,Afghanistan
13/07/2020,13,7,2020,0,0,Afghanistan
12/07/2020,12,7,2020,85,16,Afghanistan
11/07/2020,11,7,2020,458,37,Afghanistan
10/07/2020,10,7,2020,255,20,Afghanistan
09/07/2020,9,7,2020,59,1,Afghanistan
08/07/2020,8,7,2020,210,16,Afghanistan
